	IVMTrt_A_1	IVMTrt_A_2	IVMTrt_A_3	IVMTrt_N_1	IVMTrt_N_2	IVMTrt_N_3	IVMctrl_N_1	IVMctrl_N_2	IVMctrl_N_3	Ctrl_A_1	Ctrl_A_2	Ctrl_A_3	Ctrl_N_1	Ctrl_N_2	Ctrl_N_3
ENSMUSG00000014349	126	59	36	81	232	78	64	111	49	84	37	51	29	113	69
ENSMUSG00000014351	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000014353	530.999	342	283	308	491	194.031	405	416.001	306.001	379	178	351.999	208.001	162	312
ENSMUSG00000014355	982.001	596	610	675.487	632	359.001	819	647.001	644	897.3	378.999	701.001	435	484.775	662.001
ENSMUSG00000014361	1077	285	238	4	73.326	66	6	48	4.023	1291.001	182	144.001	6	11	33
ENSMUSG00000014402	102	56	62.493	83	78.597	61	72	51.994	53.757	99	22.594	48	37	43.739	59.544
ENSMUSG00000014418	190	135	179	127	141.999	135	159	157.001	131.595	165.001	111	153.999	78	147	99
ENSMUSG00000014426	359.001	239	198	288.001	423.001	481.678	270.999	381.001	214.999	253.999	107	238	149	203.184	237.999
ENSMUSG00000014444	366.166	80.004	48	36.015	143.439	73.64	14.865	45.935	14.012	57.634	35.616	48.814	16.692	94.067	27.674
ENSMUSG00000014453	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000014470	72.553	47	88	71.741	99	31	94.976	65	76.388	57	31	61	54	34.771	55
ENSMUSG00000014496	1268.945	494	734.498	487.001	527.001	392	611.001	599	479.999	2564.112	425	695.318	341.497	298.999	418.281
ENSMUSG00000014498	504.29	450.927	412.44	392	499.499	382.001	311.576	398.842	234.838	341.907	290.489	402.228	179	325.834	375.683
ENSMUSG00000014503	45.235	28.743	3.255	31.071	65.11	15.252	41.588	38.283	47.88	36.948	14.68	28.591	18.781	36.655	56.9
ENSMUSG00000014504	129	43	71	103	156	111	148	124	127	142	68	81	86.337	95	118
ENSMUSG00000014529	0	2	0	1	6	0	0	5	0	0	0	0	0	3	0
ENSMUSG00000014542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000014543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000014547	383.002	151	283	181	238	102	223	197	161	285	78	236	88	105	151
ENSMUSG00000014550	156	115	48	128	154.001	62	128	140	118	120	62	63	72	87	55
ENSMUSG00000014551	293.749	230.239	115.519	162.83	298.748	217.869	227.97	166.839	142.038	218.347	105.625	134.085	113.665	120.226	102.174
ENSMUSG00000014554	77	59	90	28	45	24	38	57.001	34	46	22	47	25.001	17	31
ENSMUSG00000014592	663.846	1037.115	884	1053.818	1133	626.591	1067.096	878.001	1030.006	559	484.001	1006	560.999	602.713	780
ENSMUSG00000014599	407.001	56	95	43	88.019	100	31	80.151	24	216	26	42.001	28	45.001	41
ENSMUSG00000014601	185.609	110	93	162.001	85	41	165.125	87	94	168	48	114	78	27.001	76
ENSMUSG00000014602	3727.304	3560.002	5811.601	3473.99	5620.675	5332.626	2599.999	4836.674	2087.688	3225.146	2395.46	3166.421	1686.001	3689.143	3531.506
ENSMUSG00000014603	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0
ENSMUSG00000014606	90	39	70.245	56	43	47	60	29	54	73	21	30	30	17	21
ENSMUSG00000014609	3	0	4	2	0	0	0	0	0	2	0	0	2	3	1
ENSMUSG00000014633	20.64	26	10.574	21	8.915	13.338	16.614	10	18.377	11.341	0	11.905	13.529	13	10.426
ENSMUSG00000014668	255.404	210.001	244.777	292.346	356.987	220	317.642	370	321.639	238.322	147.001	309.001	220.92	204.189	255.997
ENSMUSG00000014686	4.232	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ENSMUSG00000014704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000014725	0	1	2	3	2	6	7	4	2	2	7	12	2	1	3
ENSMUSG00000014747	6	33.989	0	9	50.951	40.671	7.906	40.955	11	2	9.43	7.622	4	28.899	16.765
ENSMUSG00000014748	123.001	92	145	70	362	201.999	54	187	47	87	87	27	39	113	67
ENSMUSG00000014763	1202.751	879.595	916	684.518	1229.017	712	820.897	1035.817	636.9	759.213	448	723.051	489	830.706	755.886
ENSMUSG00000014767	492.513	323.322	292.18	406.814	1599.627	827	565.003	1266.86	406.631	360.589	266.943	434.806	246.037	2604.769	1253.747
ENSMUSG00000014769	145.676	65	18	118	244	120.999	108	148	96	124.999	98	111	65	141	119.001
ENSMUSG00000014771	38.516	10.821	49.82	21.186	23.375	0	12.996	12.139	20.45	13.411	11.057	19.193	9.963	0	2.253
ENSMUSG00000014773	22	13	6	5	4	15	4	13	1	35.001	32	2	5	1	6
ENSMUSG00000014776	11.946	41.787	16	31.659	49.721	13.048	19.086	17.828	25.432	34.689	30.338	20.408	28.824	5	15.697
ENSMUSG00000014778	63	34	49	24	43.987	50	17	38.322	20	25	14	33	6	26	18
ENSMUSG00000014782	3	3	85	6	39	35	9	16	6	1	9	9	7	9	10
ENSMUSG00000014786	29	67	88	96.278	47	44	51	77	65	17	82	90	58.113	35	62
ENSMUSG00000014791	44	35	30	29	80	30	22	33	23	26	22	34	17	44.113	31
ENSMUSG00000014813	1	12	9	10	0	0	20	8	19	5	12	11	7	3	3
ENSMUSG00000014837	29.055	49.213	1	34.341	34.279	10.952	56.915	33.172	17.567	36.311	5.662	63.593	23.176	2	23.303
ENSMUSG00000014846	31	23	32	28	32	26	7	38	12	44	6	10	7.132	4	1
ENSMUSG00000014850	324.172	193.018	138	218.161	1335.142	843.134	257.535	608.05	242.047	199.26	175.022	223.746	135.013	482.203	246.546
ENSMUSG00000014852	1.017	0	1	3.075	4.11	20	2	0	2	0	0	2.066	0	2	1
ENSMUSG00000014856	67	31	14	53.001	88.014	36	68	61.678	48.999	49	15	34.001	28	60	35
ENSMUSG00000014859	116	49	134	61	195	256	69	178	43	60	43	58	36	160	132
ENSMUSG00000014867	189.914	108	20	69	95.204	38.117	79.804	54	79	146.704	47	74.724	48	55.045	33.826
ENSMUSG00000014873	280.077	112	172.952	203	232.796	211.715	183.196	266.001	135	177.295	140	117.276	102	120.955	150.174
ENSMUSG00000014905	121	13.686	22	50.765	216	108	55	85	52	74	8.399	35	31	93	109
ENSMUSG00000014907	30	13	10	24	22.817	5	30	32	19	21	10	17	17	7	10
ENSMUSG00000014932	176.889	58	55	34	29	27	57	46	41	115	80	73	34.802	43	45
ENSMUSG00000014956	448.964	312.371	363.854	386.435	652.448	462.633	447.222	428.426	466.88	472.915	169.349	348.987	303.309	783.408	545.296
ENSMUSG00000014959	131.149	58.083	54.088	73.295	99.209	93	56.043	39.863	66.212	80.437	31.057	21.008	42.287	33.07	39.173
ENSMUSG00000014980	70	75	77	107	106	23	158.001	101	147	65	88	163	81	67	113
ENSMUSG00000015001	0	4	0	1	5	0	2	0	0	2	0	1	1	3	4
ENSMUSG00000015002	540.578	507.452	395.549	625.657	469.453	207.342	877.359	478.999	676.922	313.619	214	670.088	304.919	335.178	647.988
ENSMUSG00000015013	8	10	5	14	11	1	13	8	16	6	2	19	7	1	1
ENSMUSG00000015016	23	50	28	57	48	23	32	35	18.999	24	21	40	25.001	21	25
ENSMUSG00000015023	54.834	16.103	84.355	40.115	53.512	66.454	36.987	62.386	37.21	40.885	5.118	31.78	23.923	51.576	27.621
ENSMUSG00000015027	39	28	8	6	29	2	11	11	13	10	9	22	9	5	8
ENSMUSG00000015053	4	0	12	0	1	2	0	0	0	9	0	0	0	3	0
ENSMUSG00000015083	3	0	3	0	0	0	0	0	1	2	1	4	0	1	1
ENSMUSG00000015085	16.332	0	51	0	8	5	0	2	0	36	3	1	0	0	0
ENSMUSG00000015087	500.999	382	536.342	618.892	683.699	478.079	498.003	612.999	350	375	242.001	455	282	338	374.999
ENSMUSG00000015090	439.999	63	121	8	46	25	10	22	2	952	22	134	12.999	1	39
ENSMUSG00000015092	99.957	28	23	74	74	27	56	36	66.999	65.999	19	34	35	37	26
ENSMUSG00000015093	2	1	1	0	2	2	1	3	1	10	0	0	0	2	0
ENSMUSG00000015094	155.667	146.001	302.001	229.999	352.874	234.001	247.632	273	189	158.001	151	201	140.001	78	137.001
ENSMUSG00000015095	170.001	115	312	118	107	250.001	73.001	216	66	116	77	100.001	56.001	53	99
ENSMUSG00000015112	53	4	14	3	2	2	2	5	2	29	0	4	2	5	2
ENSMUSG00000015120	1006.084	514.924	867.958	505.906	1964.351	1608.258	579.167	1482.003	474.8	637.573	384.243	546.991	322.39	1580.288	1046.58
ENSMUSG00000015126	100.001	40.996	74	51.284	117.725	138.999	64.999	126.953	29.998	36	14	43.001	36.948	91.838	60.991
ENSMUSG00000015127	150.646	125.316	165.719	149.986	214.364	155.57	183.536	171.801	177.802	87.714	106.848	182.479	96.877	129.347	114.735
ENSMUSG00000015133	323	42	107	1	13	7	1	12	0	42.48	34	13	0	6	11
ENSMUSG00000015134	2	2	1	1	3.113	1	1.008	5	0	0	6	3	2	6	2.014
ENSMUSG00000015143	79.723	236	269.029	267.967	362.826	132	181	214.999	178	48	151.001	221	174.001	118.519	150
ENSMUSG00000015149	425.001	187	236	132.999	173	128	168.001	196.402	97	842	70	123	84.999	68	121
ENSMUSG00000015165	988.001	682.001	683.701	880.999	738	561.856	968	741	710.001	826.853	449	764.775	523	432.001	639.157
ENSMUSG00000015176	136.001	40	41	97.999	165	257	92	136	85.001	89	19	34	54	111	86
ENSMUSG00000015189	112	94	61	88	49	22	136	41	159	134	44	110	81	19	35
ENSMUSG00000015202	20	4	8	4	5	5	6	12	6	72	5	3	2	0	3
ENSMUSG00000015214	239.374	338	323.999	240.999	311.001	168	370.999	242	284	192.999	198.001	319	208	255	221
ENSMUSG00000015217	41.421	35.107	12	45.453	63.326	15	42.485	49.751	50.312	52.855	21.52	60.876	25	44.102	32.961
